Kode Produk,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,Cluster
P56,137,137,121,104,190,104,138,187,158,108,127,90,65,75,164,61,87,27,176,50,35,110,41,86,1
P57,219,95,208,216,122,181,170,116,162,31,151,33,136,49,85,35,24,31,40,42,50,48,50,43,1
P58,103,56,54,89,62,46,57,138,123,104,101,127,0,21,42,3,4,-9,0,0,0,0,0,0,0
P59,48,0,46,23,47,0,0,2,26,24,13,51,100,15,72,8,1,13,10,13,13,10,10,17,0
P60,43,60,19,53,49,15,42,27,38,52,49,20,85,70,36,29,60,26,82,41,35,60,65,166,0
P61,81,104,31,103,80,29,68,60,37,93,58,32,20,23,46,14,7,18,13,5,0,0,0,0,0
P62,12,13,19,37,23,4,44,25,44,18,16,43,369,519,435,221,400,312,621,488,344,768,826,101,1
P63,259,345,210,396,355,396,524,492,820,321,454,225,9,3,50,24,18,0,0,0,0,2,8,0,1
P64,25,28,61,22,3,11,-1,59,16,20,0,25,149,83,113,278,152,172,218,57,181,216,133,311,1
P65,276,60,145,144,173,92,213,94,141,192,143,134,163,155,371,742,870,1277,2839,1400,749,1728,798,677,4
P66,0,10,170,150,350,100,0,0,0,0,25,80,20,200,0,0,1,0,0,0,12,0,50,0,0
P67,5,11,24,25,14,9,27,1,-5,7,12,0,-2,7,4,10,-3,3,0,2,3,0,0,2,0
P68,0,50,22,15,5,22,15,30,10,10,10,21,52,10,0,0,-2,23,0,5,16,3,0,0,0
P69,50,0,0,50,50,0,0,30,0,100,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
P70,0,50,80,0,0,0,75,0,140,0,50,0,25,0,40,75,7,0,120,100,0,80,120,0,0
P71,10,20,35,15,0,0,30,15,45,0,30,15,0,1,1,0,0,0,0,0,0,0,3,5,0
P72,2611,2300,1953,1942,2448,1631,1877,2097,1747,2201,1499,1752,2241,1793,2234,2079,1646,1637,1966,1892,1717,1858,1922,1731,4
P73,661,974,427,572,925,705,631,703,706,852,659,555,973,592,767,715,642,501,697,648,714,758,669,742,4
P74,612,441,904,759,1100,683,1077,691,696,851,1155,729,849,897,1018,535,750,726,1218,657,838,684,836,734,4
P75,13,23,24,1,9,6,8,6,15,10,0,0,5,-3,0,9,9,4,7,0,2,6,2,6,0
P76,46,66,41,25,64,33,42,47,47,24,13,57,46,10,44,23,11,14,27,22,1,0,0,0,0
P77,83,126,100,115,131,67,90,76,67,4,0,0,150,10,47,22,20,9,29,16,23,20,44,13,0
P78,137,82,73,105,112,44,121,53,78,59,31,29,38,25,45,26,14,20,31,19,13,36,7,25,0
P79,220,254,152,155,246,174,226,172,172,171,206,225,200,158,213,146,114,154,86,140,120,116,108,148,1
P80,4624,959,1500,4900,1812,2128,3913,5320,2657,4730,181,2337,2382,1005,3682,3585,6316,2531,3752,2508,3637,3854,3951,3220,2
